datahora,Geração Usinas CVU (MW),Geração Biomassa (MW),Geração Eólicas (MW),Geração Hidráulica não MRE (MW),Geração Hidráulica MRE (MW),PLD (R$/MWh),CMO (R$/MWh),Carga Global (MWh/H),Intercâmbio (MW),ENA Armazenável (MW)
2021-04-17 04:00,15.402759,4.732,0.0,1.689036,4.090343,157.34,167.46,34731.091,7113.103,28322.01218556966
2021-04-17 05:00,15.543464,4.611891,0.0,1.689435,4.093713,161.47,171.875,34815.8205,7252.69,28322.01218556966
2021-04-17 06:00,15.699734999999999,5.129919999999999,0.0,1.689811,4.197738,159.15,169.485,34880.442500000005,7657.443,28322.01218556966
2021-04-17 07:00,15.741435,5.0243199999999995,0.0,1.690852,4.928192999999999,161.65,175.535,34781.75199999999,8001.028,28322.01218556966
2021-04-17 08:00,94.181894,4.704000000000001,0.0,1.688809,5.403709,160.94,174.95,36095.69,8385.015,28322.01218556966
2021-04-17 09:00,94.26123799999999,3.75424,0.0,1.6882599999999999,5.685885,163.8,177.565,37276.04,8366.203,28322.01218556966
2021-04-17 10:00,94.286328,3.72499,0.0,1.687354,5.680378,165.27,177.60000000000002,38019.8535,8065.126,28322.01218556966
2021-04-17 11:00,94.33908,3.722072,0.113165,1.83331,5.902931,163.93,176.49,38264.4465,7339.495,28322.01218556966
2021-04-17 12:00,94.42607,3.7213339999999997,1.751493,1.920019,5.878575,164.07,177.45499999999998,38451.1115,6605.158,28322.01218556966
2021-04-17 13:00,94.36891399999999,3.1024000000000003,3.2400349999999998,1.8422919999999998,5.898086999999999,163.43,176.45,38514.887,6580.341,28322.01218556966
2021-04-17 14:00,94.33287299999999,3.413899,5.728046,1.689784,5.994000000000001,165.06,177.48000000000002,38842.051,6699.677,28322.01218556966
2021-04-17 15:00,94.726196,3.7173599999999998,9.598476,1.655096,5.915673,166.05,179.425,38914.4325,6895.502,28322.01218556966
2021-04-17 16:00,157.92065,4.1364,13.777358999999999,1.712237,5.955067,169.78,182.305,39492.9415,7150.799,28322.01218556966
2021-04-17 17:00,158.284849,4.2780000000000005,12.84593,1.7192969999999999,6.029,176.11,189.08499999999998,40363.518,6879.058,28322.01218556966
2021-04-17 18:00,158.998073,3.557895,11.511998,1.6565159999999999,6.011,180.06,191.91,43780.2375,4368.367,28322.01218556966
2021-04-17 19:00,159.458233,3.5364,12.47862,1.6572479999999998,5.9,180.06,192.09,45877.654,4532.43099999,28322.01218556966
2021-04-17 20:00,159.869255,3.197434,11.286181,1.711865,5.942,178.92,191.74,44416.978,5799.342,28322.01218556966
2021-04-17 21:00,160.07378599999998,3.2867129999999998,6.304562,1.713568,5.9479869999999995,178.89,191.23,43028.675,6533.109,28322.01218556966
